Year,Date,Last Value,Q%,SOQ,Value
CY 2017,2017-01-03 00:00:00,,,,62.580002
CY 2017,2017-01-04 00:00:00,,,,62.299999
CY 2017,2017-01-05 00:00:00,,,,62.299999
CY 2017,2017-01-06 00:00:00,,,,62.84
CY 2017,2017-01-09 00:00:00,,,,62.639999
CY 2017,2017-01-10 00:00:00,,,,62.619999
CY 2017,2017-01-11 00:00:00,,,,63.189999
CY 2017,2017-01-12 00:00:00,,,,62.610001
CY 2017,2017-01-13 00:00:00,,,,62.700001
CY 2017,2017-01-17 00:00:00,,,,62.529999
CY 2017,2017-01-18 00:00:00,,,,62.5
CY 2017,2017-01-19 00:00:00,,,,62.299999
CY 2017,2017-01-20 00:00:00,,,,62.740002
CY 2017,2017-01-23 00:00:00,,,,62.959999
CY 2017,2017-01-24 00:00:00,,,,63.52
CY 2017,2017-01-25 00:00:00,,,,63.68
CY 2017,2017-01-26 00:00:00,,,,64.269997
CY 2017,2017-01-27 00:00:00,,,,65.779999
CY 2017,2017-01-30 00:00:00,,,,65.129997
CY 2017,2017-01-31 00:00:00,,,,64.650002
CY 2017,2017-02-01 00:00:00,,,,63.580002
CY 2017,2017-02-02 00:00:00,,,,63.169998
CY 2017,2017-02-03 00:00:00,,,,63.68
CY 2017,2017-02-06 00:00:00,,,,63.639999
CY 2017,2017-02-07 00:00:00,,,,63.43
CY 2017,2017-02-08 00:00:00,,,,63.34
CY 2017,2017-02-09 00:00:00,,,,64.059998
CY 2017,2017-02-10 00:00:00,,,,64
CY 2017,2017-02-13 00:00:00,,,,64.720001
CY 2017,2017-02-14 00:00:00,,,,64.57
CY 2017,2017-02-15 00:00:00,,,,64.529999
CY 2017,2017-02-16 00:00:00,,,,64.519997
CY 2017,2017-02-17 00:00:00,,,,64.620003
CY 2017,2017-02-21 00:00:00,,,,64.489998
CY 2017,2017-02-22 00:00:00,,,,64.360001
CY 2017,2017-02-23 00:00:00,,,,64.620003
CY 2017,2017-02-24 00:00:00,,,,64.620003
CY 2017,2017-02-27 00:00:00,,,,64.230003
CY 2017,2017-02-28 00:00:00,,,,63.98
CY 2017,2017-03-01 00:00:00,,,,64.940002
CY 2017,2017-03-02 00:00:00,,,,64.010002
CY 2017,2017-03-03 00:00:00,,,,64.25
CY 2017,2017-03-06 00:00:00,,,,64.269997
CY 2017,2017-03-07 00:00:00,,,,64.400002
CY 2017,2017-03-08 00:00:00,,,,64.989998
CY 2017,2017-03-09 00:00:00,,,,64.730003
CY 2017,2017-03-10 00:00:00,,,,64.93
CY 2017,2017-03-13 00:00:00,,,,64.709999
CY 2017,2017-03-14 00:00:00,,,,64.410004
CY 2017,2017-03-15 00:00:00,,,,64.75
CY 2017,2017-03-16 00:00:00,,,,64.639999
CY 2017,2017-03-17 00:00:00,,,,64.870003
CY 2017,2017-03-20 00:00:00,,,,64.93
CY 2017,2017-03-21 00:00:00,,,,64.209999
CY 2017,2017-03-22 00:00:00,,,,65.029999
CY 2017,2017-03-23 00:00:00,,,,64.870003
CY 2017,2017-03-24 00:00:00,,,,64.980003
CY 2017,2017-03-27 00:00:00,,,,65.099998
CY 2017,2017-03-28 00:00:00,,,,65.290001
CY 2017,2017-03-29 00:00:00,,,,65.470001
CY 2017,2017-03-30 00:00:00,,,,65.709999
CY 2017,2017-03-31 00:00:00,,,,65.860001
CY 2017,2017-04-03 00:00:00,,,,65.550003
CY 2017,2017-04-04 00:00:00,,,,65.730003
CY 2017,2017-04-05 00:00:00,,,,65.559998
CY 2017,2017-04-06 00:00:00,,,,65.730003
CY 2017,2017-04-07 00:00:00,,,,65.68
CY 2017,2017-04-10 00:00:00,,,,65.529999
CY 2017,2017-04-11 00:00:00,,,,65.480003
CY 2017,2017-04-12 00:00:00,,,,65.230003
CY 2017,2017-04-13 00:00:00,,,,64.949997
CY 2017,2017-04-17 00:00:00,,,,65.480003
CY 2017,2017-04-18 00:00:00,,,,65.389999
CY 2017,2017-04-19 00:00:00,,,,65.040001
CY 2017,2017-04-20 00:00:00,,,,65.5
CY 2017,2017-04-21 00:00:00,,,,66.400002
CY 2017,2017-04-24 00:00:00,,,,67.529999
CY 2017,2017-04-25 00:00:00,,,,67.919998
CY 2017,2017-04-26 00:00:00,,,,67.830002
CY 2017,2017-04-27 00:00:00,,,,68.269997
CY 2017,2017-04-28 00:00:00,,,,68.459999
CY 2017,2017-05-01 00:00:00,,,,69.410004
CY 2017,2017-05-02 00:00:00,,,,69.300003
CY 2017,2017-05-03 00:00:00,,,,69.080002
CY 2017,2017-05-04 00:00:00,,,,68.809998
CY 2017,2017-05-05 00:00:00,,,,69
CY 2017,2017-05-08 00:00:00,,,,68.940002
CY 2017,2017-05-09 00:00:00,,,,69.040001
CY 2017,2017-05-10 00:00:00,,,,69.309998
CY 2017,2017-05-11 00:00:00,,,,68.459999
CY 2017,2017-05-12 00:00:00,,,,68.379997
CY 2017,2017-05-15 00:00:00,,,,68.43
CY 2017,2017-05-16 00:00:00,,,,69.410004
CY 2017,2017-05-17 00:00:00,,,,67.480003
CY 2017,2017-05-18 00:00:00,,,,67.709999
CY 2017,2017-05-19 00:00:00,,,,67.690002
CY 2017,2017-05-22 00:00:00,,,,68.449997
CY 2017,2017-05-23 00:00:00,,,,68.68
CY 2017,2017-05-24 00:00:00,,,,68.769997
CY 2017,2017-05-25 00:00:00,,,,69.620003
CY 2017,2017-05-26 00:00:00,,,,69.959999
CY 2017,2017-05-30 00:00:00,,,,70.410004
CY 2017,2017-05-31 00:00:00,,,,69.839996
CY 2017,2017-06-01 00:00:00,,,,70.099998
CY 2017,2017-06-02 00:00:00,,,,71.760002
CY 2017,2017-06-05 00:00:00,,,,72.279999
CY 2017,2017-06-06 00:00:00,,,,72.519997
CY 2017,2017-06-07 00:00:00,,,,72.389999
CY 2017,2017-06-08 00:00:00,,,,71.949997
CY 2017,2017-06-09 00:00:00,,,,70.32
CY 2017,2017-06-12 00:00:00,,,,69.779999
CY 2017,2017-06-13 00:00:00,,,,70.650002
CY 2017,2017-06-14 00:00:00,,,,70.269997
CY 2017,2017-06-15 00:00:00,,,,69.900002
CY 2017,2017-06-16 00:00:00,,,,70
CY 2017,2017-06-19 00:00:00,,,,70.870003
CY 2017,2017-06-20 00:00:00,,,,69.910004
CY 2017,2017-06-21 00:00:00,,,,70.269997
CY 2017,2017-06-22 00:00:00,,,,70.260002
CY 2017,2017-06-23 00:00:00,,,,71.209999
CY 2017,2017-06-26 00:00:00,,,,70.529999
CY 2017,2017-06-27 00:00:00,,,,69.209999
CY 2017,2017-06-28 00:00:00,,,,69.800003
CY 2017,2017-06-29 00:00:00,,,,68.489998
CY 2017,2017-06-30 00:00:00,,,,68.93
CY 2017,2017-07-03 00:00:00,,,,68.169998
CY 2017,2017-07-05 00:00:00,,,,69.080002
CY 2017,2017-07-06 00:00:00,,,,68.57
CY 2017,2017-07-07 00:00:00,,,,69.459999
CY 2017,2017-07-10 00:00:00,,,,69.980003
CY 2017,2017-07-11 00:00:00,,,,69.989998
CY 2017,2017-07-12 00:00:00,,,,71.150002
CY 2017,2017-07-13 00:00:00,,,,71.769997
CY 2017,2017-07-14 00:00:00,,,,72.779999
CY 2017,2017-07-17 00:00:00,,,,73.349998
CY 2017,2017-07-18 00:00:00,,,,73.300003
CY 2017,2017-07-19 00:00:00,,,,73.860001
CY 2017,2017-07-20 00:00:00,,,,74.220001
CY 2017,2017-07-21 00:00:00,,,,73.790001
CY 2017,2017-07-24 00:00:00,,,,73.599998
CY 2017,2017-07-25 00:00:00,,,,74.190002
CY 2017,2017-07-26 00:00:00,,,,74.050003
CY 2017,2017-07-27 00:00:00,,,,73.160004
CY 2017,2017-07-28 00:00:00,,,,73.040001
CY 2017,2017-07-31 00:00:00,,,,72.699997
CY 2017,2017-08-01 00:00:00,,,,72.580002
CY 2017,2017-08-02 00:00:00,,,,72.260002
CY 2017,2017-08-03 00:00:00,,,,72.150002
CY 2017,2017-08-04 00:00:00,,,,72.68
CY 2017,2017-08-07 00:00:00,,,,72.400002
CY 2017,2017-08-08 00:00:00,,,,72.790001
CY 2017,2017-08-09 00:00:00,,,,72.470001
CY 2017,2017-08-10 00:00:00,,,,71.410004
CY 2017,2017-08-11 00:00:00,,,,72.5
CY 2017,2017-08-14 00:00:00,,,,73.589996
CY 2017,2017-08-15 00:00:00,,,,73.220001
CY 2017,2017-08-16 00:00:00,,,,73.650002
CY 2017,2017-08-17 00:00:00,,,,72.400002
CY 2017,2017-08-18 00:00:00,,,,72.489998
CY 2017,2017-08-21 00:00:00,,,,72.150002
CY 2017,2017-08-22 00:00:00,,,,73.160004
CY 2017,2017-08-23 00:00:00,,,,72.720001
CY 2017,2017-08-24 00:00:00,,,,72.690002
CY 2017,2017-08-25 00:00:00,,,,72.82
CY 2017,2017-08-28 00:00:00,,,,72.830002
CY 2017,2017-08-29 00:00:00,,,,73.050003
CY 2017,2017-08-30 00:00:00,,,,74.010002
CY 2017,2017-08-31 00:00:00,,,,74.769997
CY 2017,2017-09-01 00:00:00,,,,73.940002
CY 2017,2017-09-05 00:00:00,,,,73.610001
CY 2017,2017-09-06 00:00:00,,,,73.400002
CY 2017,2017-09-07 00:00:00,,,,74.339996
CY 2017,2017-09-08 00:00:00,,,,73.980003
CY 2017,2017-09-11 00:00:00,,,,74.760002
CY 2017,2017-09-12 00:00:00,,,,74.68
CY 2017,2017-09-13 00:00:00,,,,75.209999
CY 2017,2017-09-14 00:00:00,,,,74.769997
CY 2017,2017-09-15 00:00:00,,,,75.309998
CY 2017,2017-09-18 00:00:00,,,,75.160004
CY 2017,2017-09-19 00:00:00,,,,75.440002
CY 2017,2017-09-20 00:00:00,,,,74.940002
CY 2017,2017-09-21 00:00:00,,,,74.209999
CY 2017,2017-09-22 00:00:00,,,,74.410004
CY 2017,2017-09-25 00:00:00,,,,73.260002
CY 2017,2017-09-26 00:00:00,,,,73.260002
CY 2017,2017-09-27 00:00:00,,,,73.849998
CY 2017,2017-09-28 00:00:00,,,,73.870003
CY 2017,2017-09-29 00:00:00,,,,74.489998
CY 2017,2017-10-02 00:00:00,,,,74.610001
CY 2017,2017-10-03 00:00:00,,,,74.260002
CY 2017,2017-10-04 00:00:00,,,,74.690002
CY 2017,2017-10-05 00:00:00,,,,75.970001
CY 2017,2017-10-06 00:00:00,,,,76
CY 2017,2017-10-09 00:00:00,,,,76.290001
CY 2017,2017-10-10 00:00:00,,,,76.290001
CY 2017,2017-10-11 00:00:00,,,,76.419998
CY 2017,2017-10-12 00:00:00,,,,77.120003
CY 2017,2017-10-13 00:00:00,,,,77.489998
CY 2017,2017-10-16 00:00:00,,,,77.650002
CY 2017,2017-10-17 00:00:00,,,,77.589996
CY 2017,2017-10-18 00:00:00,,,,77.610001
CY 2017,2017-10-19 00:00:00,,,,77.910004
CY 2017,2017-10-20 00:00:00,,,,78.809998
CY 2017,2017-10-23 00:00:00,,,,78.830002
CY 2017,2017-10-24 00:00:00,,,,78.860001
CY 2017,2017-10-25 00:00:00,,,,78.629997
CY 2017,2017-10-26 00:00:00,,,,78.760002
CY 2017,2017-10-27 00:00:00,,,,83.809998
CY 2017,2017-10-30 00:00:00,,,,83.889999
CY 2017,2017-10-31 00:00:00,,,,83.18
CY 2017,2017-11-01 00:00:00,,,,83.18
CY 2017,2017-11-02 00:00:00,,,,84.050003
CY 2017,2017-11-03 00:00:00,,,,84.139999
CY 2017,2017-11-06 00:00:00,,,,84.470001
CY 2017,2017-11-07 00:00:00,,,,84.269997
CY 2017,2017-11-08 00:00:00,,,,84.559998
CY 2017,2017-11-09 00:00:00,,,,84.089996
CY 2017,2017-11-10 00:00:00,,,,83.870003
CY 2017,2017-11-13 00:00:00,,,,83.93
CY 2017,2017-11-14 00:00:00,,,,84.050003
CY 2017,2017-11-15 00:00:00,,,,82.980003
CY 2017,2017-11-16 00:00:00,,,,83.199997
CY 2017,2017-11-17 00:00:00,,,,82.400002
CY 2017,2017-11-20 00:00:00,,,,82.529999
CY 2017,2017-11-21 00:00:00,,,,83.720001
CY 2017,2017-11-22 00:00:00,,,,83.110001
CY 2017,2017-11-24 00:00:00,,,,83.260002
