Year,Date,Last Value,Q%,SOQ,Value
CY 2014,2014-06-24 00:00:00,,,,41.75
CY 2014,2014-06-25 00:00:00,,,,42.029999
CY 2014,2014-06-26 00:00:00,,,,41.720001
CY 2014,2014-06-27 00:00:00,,,,42.25
CY 2014,2014-06-30 00:00:00,,,,41.700001
CY 2014,2014-07-01 00:00:00,,,,41.869999
CY 2014,2014-07-02 00:00:00,,,,41.900002
CY 2014,2014-07-03 00:00:00,,,,41.799999
CY 2014,2014-07-07 00:00:00,,,,41.990002
CY 2014,2014-07-08 00:00:00,,,,41.779999
CY 2014,2014-07-09 00:00:00,,,,41.669998
CY 2014,2014-07-10 00:00:00,,,,41.689999
CY 2014,2014-07-11 00:00:00,,,,42.09
CY 2014,2014-07-14 00:00:00,,,,42.139999
CY 2014,2014-07-15 00:00:00,,,,42.450001
CY 2014,2014-07-16 00:00:00,,,,44.080002
CY 2014,2014-07-17 00:00:00,,,,44.529999
CY 2014,2014-07-18 00:00:00,,,,44.689999
CY 2014,2014-07-21 00:00:00,,,,44.84
CY 2014,2014-07-22 00:00:00,,,,44.830002
CY 2014,2014-07-23 00:00:00,,,,44.869999
CY 2014,2014-07-24 00:00:00,,,,44.400002
CY 2014,2014-07-25 00:00:00,,,,44.5
CY 2014,2014-07-28 00:00:00,,,,43.970001
CY 2014,2014-07-29 00:00:00,,,,43.889999
CY 2014,2014-07-30 00:00:00,,,,43.580002
CY 2014,2014-07-31 00:00:00,,,,43.16
CY 2014,2014-08-01 00:00:00,,,,42.860001
CY 2014,2014-08-04 00:00:00,,,,43.369999
CY 2014,2014-08-05 00:00:00,,,,43.080002
CY 2014,2014-08-06 00:00:00,,,,42.740002
CY 2014,2014-08-07 00:00:00,,,,43.23
CY 2014,2014-08-08 00:00:00,,,,43.200001
CY 2014,2014-08-11 00:00:00,,,,43.200001
CY 2014,2014-08-12 00:00:00,,,,43.52
CY 2014,2014-08-13 00:00:00,,,,44.080002
CY 2014,2014-08-14 00:00:00,,,,44.27
CY 2014,2014-08-15 00:00:00,,,,44.790001
CY 2014,2014-08-18 00:00:00,,,,45.110001
CY 2014,2014-08-19 00:00:00,,,,45.330002
CY 2014,2014-08-20 00:00:00,,,,44.950001
CY 2014,2014-08-21 00:00:00,,,,45.220001
CY 2014,2014-08-22 00:00:00,,,,45.150002
CY 2014,2014-08-25 00:00:00,,,,45.169998
CY 2014,2014-08-26 00:00:00,,,,45.009998
CY 2014,2014-08-27 00:00:00,,,,44.869999
CY 2014,2014-08-28 00:00:00,,,,44.880001
CY 2014,2014-08-29 00:00:00,,,,45.43
CY 2014,2014-09-02 00:00:00,,,,45.09
CY 2014,2014-09-03 00:00:00,,,,44.959999
CY 2014,2014-09-04 00:00:00,,,,45.259998
CY 2014,2014-09-05 00:00:00,,,,45.91
CY 2014,2014-09-08 00:00:00,,,,46.470001
CY 2014,2014-09-09 00:00:00,,,,46.759998
CY 2014,2014-09-10 00:00:00,,,,46.84
CY 2014,2014-09-11 00:00:00,,,,47
CY 2014,2014-09-12 00:00:00,,,,46.700001
CY 2014,2014-09-15 00:00:00,,,,46.240002
CY 2014,2014-09-16 00:00:00,,,,46.759998
CY 2014,2014-09-17 00:00:00,,,,46.52
CY 2014,2014-09-18 00:00:00,,,,46.68
CY 2014,2014-09-19 00:00:00,,,,47.52
CY 2014,2014-09-22 00:00:00,,,,47.060001
CY 2014,2014-09-23 00:00:00,,,,46.560001
CY 2014,2014-09-24 00:00:00,,,,47.080002
CY 2014,2014-09-25 00:00:00,,,,46.040001
CY 2014,2014-09-26 00:00:00,,,,46.41
CY 2014,2014-09-29 00:00:00,,,,46.439999
CY 2014,2014-09-30 00:00:00,,,,46.360001
CY 2014,2014-10-01 00:00:00,,,,45.900002
CY 2014,2014-10-02 00:00:00,,,,45.759998
CY 2014,2014-10-03 00:00:00,,,,46.09
CY 2014,2014-10-06 00:00:00,,,,46.09
