Year,Date,Last Value,Q%,SOQ,Value
CY 2016,2016-01-04 00:00:00,,,,54.799999
CY 2016,2016-01-05 00:00:00,,,,55.049999
CY 2016,2016-01-06 00:00:00,,,,54.049999
CY 2016,2016-01-07 00:00:00,,,,52.169998
CY 2016,2016-01-08 00:00:00,,,,52.330002
CY 2016,2016-01-11 00:00:00,,,,52.299999
CY 2016,2016-01-12 00:00:00,,,,52.779999
CY 2016,2016-01-13 00:00:00,,,,51.639999
CY 2016,2016-01-14 00:00:00,,,,53.110001
CY 2016,2016-01-15 00:00:00,,,,50.990002
CY 2016,2016-01-19 00:00:00,,,,50.560001
CY 2016,2016-01-20 00:00:00,,,,50.790001
CY 2016,2016-01-21 00:00:00,,,,50.48
CY 2016,2016-01-22 00:00:00,,,,52.290001
CY 2016,2016-01-25 00:00:00,,,,51.790001
CY 2016,2016-01-26 00:00:00,,,,52.169998
CY 2016,2016-01-27 00:00:00,,,,51.220001
CY 2016,2016-01-28 00:00:00,,,,52.060001
CY 2016,2016-01-29 00:00:00,,,,55.09
CY 2016,2016-02-01 00:00:00,,,,54.709999
CY 2016,2016-02-02 00:00:00,,,,53
CY 2016,2016-02-03 00:00:00,,,,52.16
CY 2016,2016-02-04 00:00:00,,,,52
CY 2016,2016-02-05 00:00:00,,,,50.16
CY 2016,2016-02-08 00:00:00,,,,49.41
CY 2016,2016-02-09 00:00:00,,,,49.279999
CY 2016,2016-02-10 00:00:00,,,,49.709999
CY 2016,2016-02-11 00:00:00,,,,49.689999
CY 2016,2016-02-12 00:00:00,,,,50.5
CY 2016,2016-02-16 00:00:00,,,,51.09
CY 2016,2016-02-17 00:00:00,,,,52.419998
CY 2016,2016-02-18 00:00:00,,,,52.189999
CY 2016,2016-02-19 00:00:00,,,,51.82
CY 2016,2016-02-22 00:00:00,,,,52.650002
CY 2016,2016-02-23 00:00:00,,,,51.18
CY 2016,2016-02-24 00:00:00,,,,51.360001
CY 2016,2016-02-25 00:00:00,,,,52.099998
CY 2016,2016-02-26 00:00:00,,,,51.299999
CY 2016,2016-02-29 00:00:00,,,,50.880001
CY 2016,2016-03-01 00:00:00,,,,52.580002
CY 2016,2016-03-02 00:00:00,,,,52.950001
CY 2016,2016-03-03 00:00:00,,,,52.349998
CY 2016,2016-03-04 00:00:00,,,,52.029999
CY 2016,2016-03-07 00:00:00,,,,51.029999
CY 2016,2016-03-08 00:00:00,,,,51.650002
CY 2016,2016-03-09 00:00:00,,,,52.84
CY 2016,2016-03-10 00:00:00,,,,52.049999
CY 2016,2016-03-11 00:00:00,,,,53.07
CY 2016,2016-03-14 00:00:00,,,,53.169998
CY 2016,2016-03-15 00:00:00,,,,53.59
CY 2016,2016-03-16 00:00:00,,,,54.349998
CY 2016,2016-03-17 00:00:00,,,,54.66
CY 2016,2016-03-18 00:00:00,,,,53.490002
CY 2016,2016-03-21 00:00:00,,,,53.860001
CY 2016,2016-03-22 00:00:00,,,,54.07
CY 2016,2016-03-23 00:00:00,,,,53.970001
CY 2016,2016-03-24 00:00:00,,,,54.209999
CY 2016,2016-03-28 00:00:00,,,,53.540001
CY 2016,2016-03-29 00:00:00,,,,54.709999
CY 2016,2016-03-30 00:00:00,,,,55.049999
CY 2016,2016-03-31 00:00:00,,,,55.23
CY 2016,2016-04-01 00:00:00,,,,55.57
CY 2016,2016-04-04 00:00:00,,,,55.43
CY 2016,2016-04-05 00:00:00,,,,54.560001
CY 2016,2016-04-06 00:00:00,,,,55.119999
CY 2016,2016-04-07 00:00:00,,,,54.459999
CY 2016,2016-04-08 00:00:00,,,,54.419998
CY 2016,2016-04-11 00:00:00,,,,54.310001
CY 2016,2016-04-12 00:00:00,,,,54.650002
CY 2016,2016-04-13 00:00:00,,,,55.349998
CY 2016,2016-04-14 00:00:00,,,,55.360001
CY 2016,2016-04-15 00:00:00,,,,55.650002
CY 2016,2016-04-18 00:00:00,,,,56.459999
CY 2016,2016-04-19 00:00:00,,,,56.389999
CY 2016,2016-04-20 00:00:00,,,,55.59
CY 2016,2016-04-21 00:00:00,,,,55.779999
CY 2016,2016-04-22 00:00:00,,,,51.779999
CY 2016,2016-04-25 00:00:00,,,,52.110001
CY 2016,2016-04-26 00:00:00,,,,51.439999
CY 2016,2016-04-27 00:00:00,,,,50.939999
CY 2016,2016-04-28 00:00:00,,,,49.900002
CY 2016,2016-04-29 00:00:00,,,,49.869999
CY 2016,2016-05-02 00:00:00,,,,50.610001
CY 2016,2016-05-03 00:00:00,,,,49.779999
CY 2016,2016-05-04 00:00:00,,,,49.869999
CY 2016,2016-05-05 00:00:00,,,,49.939999
CY 2016,2016-05-06 00:00:00,,,,50.389999
CY 2016,2016-05-09 00:00:00,,,,50.07
CY 2016,2016-05-10 00:00:00,,,,51.02
CY 2016,2016-05-11 00:00:00,,,,51.049999
CY 2016,2016-05-12 00:00:00,,,,51.509998
CY 2016,2016-05-13 00:00:00,,,,51.080002
CY 2016,2016-05-16 00:00:00,,,,51.830002
CY 2016,2016-05-17 00:00:00,,,,50.509998
CY 2016,2016-05-18 00:00:00,,,,50.810001
CY 2016,2016-05-19 00:00:00,,,,50.32
CY 2016,2016-05-20 00:00:00,,,,50.619999
CY 2016,2016-05-23 00:00:00,,,,50.029999
CY 2016,2016-05-24 00:00:00,,,,51.59
CY 2016,2016-05-25 00:00:00,,,,52.119999
CY 2016,2016-05-26 00:00:00,,,,51.889999
CY 2016,2016-05-27 00:00:00,,,,52.32
CY 2016,2016-05-31 00:00:00,,,,53
CY 2016,2016-06-01 00:00:00,,,,52.849998
CY 2016,2016-06-02 00:00:00,,,,52.48
CY 2016,2016-06-03 00:00:00,,,,51.790001
CY 2016,2016-06-06 00:00:00,,,,52.130001
CY 2016,2016-06-07 00:00:00,,,,52.099998
CY 2016,2016-06-08 00:00:00,,,,52.040001
CY 2016,2016-06-09 00:00:00,,,,51.619999
CY 2016,2016-06-10 00:00:00,,,,51.48
CY 2016,2016-06-13 00:00:00,,,,50.139999
CY 2016,2016-06-14 00:00:00,,,,49.830002
CY 2016,2016-06-15 00:00:00,,,,49.689999
CY 2016,2016-06-16 00:00:00,,,,50.389999
CY 2016,2016-06-17 00:00:00,,,,50.130001
CY 2016,2016-06-20 00:00:00,,,,50.07
CY 2016,2016-06-21 00:00:00,,,,51.189999
CY 2016,2016-06-22 00:00:00,,,,50.990002
CY 2016,2016-06-23 00:00:00,,,,51.91
CY 2016,2016-06-24 00:00:00,,,,49.830002
CY 2016,2016-06-27 00:00:00,,,,48.43
CY 2016,2016-06-28 00:00:00,,,,49.439999
CY 2016,2016-06-29 00:00:00,,,,50.540001
CY 2016,2016-06-30 00:00:00,,,,51.169998
CY 2016,2016-07-01 00:00:00,,,,51.16
CY 2016,2016-07-05 00:00:00,,,,51.169998
CY 2016,2016-07-06 00:00:00,,,,51.380001
CY 2016,2016-07-07 00:00:00,,,,51.380001
CY 2016,2016-07-08 00:00:00,,,,52.299999
CY 2016,2016-07-11 00:00:00,,,,52.59
CY 2016,2016-07-12 00:00:00,,,,53.209999
CY 2016,2016-07-13 00:00:00,,,,53.509998
CY 2016,2016-07-14 00:00:00,,,,53.740002
CY 2016,2016-07-15 00:00:00,,,,53.700001
CY 2016,2016-07-18 00:00:00,,,,53.959999
CY 2016,2016-07-19 00:00:00,,,,53.09
CY 2016,2016-07-20 00:00:00,,,,55.91
CY 2016,2016-07-21 00:00:00,,,,55.799999
CY 2016,2016-07-22 00:00:00,,,,56.57
CY 2016,2016-07-25 00:00:00,,,,56.73
CY 2016,2016-07-26 00:00:00,,,,56.759998
CY 2016,2016-07-27 00:00:00,,,,56.189999
CY 2016,2016-07-28 00:00:00,,,,56.209999
CY 2016,2016-07-29 00:00:00,,,,56.68
CY 2016,2016-08-01 00:00:00,,,,56.580002
CY 2016,2016-08-02 00:00:00,,,,56.580002
CY 2016,2016-08-03 00:00:00,,,,56.970001
CY 2016,2016-08-04 00:00:00,,,,57.389999
CY 2016,2016-08-05 00:00:00,,,,57.959999
CY 2016,2016-08-08 00:00:00,,,,58.060001
CY 2016,2016-08-09 00:00:00,,,,58.200001
CY 2016,2016-08-10 00:00:00,,,,58.02
CY 2016,2016-08-11 00:00:00,,,,58.299999
CY 2016,2016-08-12 00:00:00,,,,57.939999
CY 2016,2016-08-15 00:00:00,,,,58.119999
CY 2016,2016-08-16 00:00:00,,,,57.439999
CY 2016,2016-08-17 00:00:00,,,,57.560001
CY 2016,2016-08-18 00:00:00,,,,57.599998
CY 2016,2016-08-19 00:00:00,,,,57.619999
CY 2016,2016-08-22 00:00:00,,,,57.669998
CY 2016,2016-08-23 00:00:00,,,,57.889999
CY 2016,2016-08-24 00:00:00,,,,57.950001
CY 2016,2016-08-25 00:00:00,,,,58.169998
CY 2016,2016-08-26 00:00:00,,,,58.029999
CY 2016,2016-08-29 00:00:00,,,,58.099998
CY 2016,2016-08-30 00:00:00,,,,57.889999
CY 2016,2016-08-31 00:00:00,,,,57.459999
CY 2016,2016-09-01 00:00:00,,,,57.59
CY 2016,2016-09-02 00:00:00,,,,57.669998
CY 2016,2016-09-06 00:00:00,,,,57.610001
CY 2016,2016-09-07 00:00:00,,,,57.66
CY 2016,2016-09-08 00:00:00,,,,57.43
CY 2016,2016-09-09 00:00:00,,,,56.209999
CY 2016,2016-09-12 00:00:00,,,,57.049999
CY 2016,2016-09-13 00:00:00,,,,56.529999
CY 2016,2016-09-14 00:00:00,,,,56.259998
CY 2016,2016-09-15 00:00:00,,,,57.189999
CY 2016,2016-09-16 00:00:00,,,,57.25
CY 2016,2016-09-19 00:00:00,,,,56.93
CY 2016,2016-09-20 00:00:00,,,,56.810001
CY 2016,2016-09-21 00:00:00,,,,57.759998
CY 2016,2016-09-22 00:00:00,,,,57.82
CY 2016,2016-09-23 00:00:00,,,,57.43
CY 2016,2016-09-26 00:00:00,,,,56.900002
CY 2016,2016-09-27 00:00:00,,,,57.950001
CY 2016,2016-09-28 00:00:00,,,,58.029999
CY 2016,2016-09-29 00:00:00,,,,57.400002
CY 2016,2016-09-30 00:00:00,,,,57.599998
CY 2016,2016-10-03 00:00:00,,,,57.419998
CY 2016,2016-10-04 00:00:00,,,,57.240002
CY 2016,2016-10-05 00:00:00,,,,57.639999
CY 2016,2016-10-06 00:00:00,,,,57.740002
CY 2016,2016-10-07 00:00:00,,,,57.799999
CY 2016,2016-10-10 00:00:00,,,,58.040001
CY 2016,2016-10-11 00:00:00,,,,57.189999
CY 2016,2016-10-12 00:00:00,,,,57.110001
CY 2016,2016-10-13 00:00:00,,,,56.919998
CY 2016,2016-10-14 00:00:00,,,,57.419998
CY 2016,2016-10-17 00:00:00,,,,57.220001
CY 2016,2016-10-18 00:00:00,,,,57.66
CY 2016,2016-10-19 00:00:00,,,,57.529999
CY 2016,2016-10-20 00:00:00,,,,57.25
CY 2016,2016-10-21 00:00:00,,,,59.66
CY 2016,2016-10-24 00:00:00,,,,61
CY 2016,2016-10-25 00:00:00,,,,60.990002
CY 2016,2016-10-26 00:00:00,,,,60.630001
CY 2016,2016-10-27 00:00:00,,,,60.099998
CY 2016,2016-10-28 00:00:00,,,,59.869999
CY 2016,2016-10-31 00:00:00,,,,59.919998
CY 2016,2016-11-01 00:00:00,,,,59.799999
CY 2016,2016-11-02 00:00:00,,,,59.43
CY 2016,2016-11-03 00:00:00,,,,59.209999
CY 2016,2016-11-04 00:00:00,,,,58.709999
CY 2016,2016-11-07 00:00:00,,,,60.419998
CY 2016,2016-11-08 00:00:00,,,,60.470001
CY 2016,2016-11-09 00:00:00,,,,60.169998
CY 2016,2016-11-10 00:00:00,,,,58.700001
CY 2016,2016-11-11 00:00:00,,,,59.02
CY 2016,2016-11-14 00:00:00,,,,58.119999
CY 2016,2016-11-15 00:00:00,,,,58.869999
CY 2016,2016-11-16 00:00:00,,,,59.650002
CY 2016,2016-11-17 00:00:00,,,,60.639999
CY 2016,2016-11-18 00:00:00,,,,60.349998
CY 2016,2016-11-21 00:00:00,,,,60.860001
CY 2016,2016-11-22 00:00:00,,,,61.119999
CY 2016,2016-11-23 00:00:00,,,,60.400002
CY 2016,2016-11-25 00:00:00,,,,60.529999
CY 2016,2016-11-28 00:00:00,,,,60.610001
CY 2016,2016-11-29 00:00:00,,,,61.09
CY 2016,2016-11-30 00:00:00,,,,60.259998
CY 2016,2016-12-01 00:00:00,,,,59.200001
CY 2016,2016-12-02 00:00:00,,,,59.25
CY 2016,2016-12-05 00:00:00,,,,60.220001
CY 2016,2016-12-06 00:00:00,,,,59.950001
CY 2016,2016-12-07 00:00:00,,,,61.369999
CY 2016,2016-12-08 00:00:00,,,,61.009998
CY 2016,2016-12-09 00:00:00,,,,61.970001
CY 2016,2016-12-12 00:00:00,,,,62.169998
CY 2016,2016-12-13 00:00:00,,,,62.98
CY 2016,2016-12-14 00:00:00,,,,62.68
CY 2016,2016-12-15 00:00:00,,,,62.580002
CY 2016,2016-12-16 00:00:00,,,,62.299999
CY 2016,2016-12-19 00:00:00,,,,63.619999
CY 2016,2016-12-20 00:00:00,,,,63.540001
CY 2016,2016-12-21 00:00:00,,,,63.540001
CY 2016,2016-12-22 00:00:00,,,,63.549999
CY 2016,2016-12-23 00:00:00,,,,63.240002
CY 2016,2016-12-27 00:00:00,,,,63.279999
CY 2016,2016-12-28 00:00:00,,,,62.990002
CY 2016,2016-12-29 00:00:00,,,,62.900002
CY 2016,2016-12-30 00:00:00,,,,62.139999
