Year,Date,Last Value,Q%,SOQ,Value
CY 2015,2015-01-02 00:00:00,,,,46.759998
CY 2015,2015-01-05 00:00:00,,,,46.330002
CY 2015,2015-01-06 00:00:00,,,,45.650002
CY 2015,2015-01-07 00:00:00,,,,46.23
CY 2015,2015-01-08 00:00:00,,,,47.59
CY 2015,2015-01-09 00:00:00,,,,47.189999
CY 2015,2015-01-12 00:00:00,,,,46.599998
CY 2015,2015-01-13 00:00:00,,,,46.360001
CY 2015,2015-01-14 00:00:00,,,,45.959999
CY 2015,2015-01-15 00:00:00,,,,45.48
CY 2015,2015-01-16 00:00:00,,,,46.240002
CY 2015,2015-01-20 00:00:00,,,,46.389999
CY 2015,2015-01-21 00:00:00,,,,45.919998
CY 2015,2015-01-22 00:00:00,,,,47.130001
CY 2015,2015-01-23 00:00:00,,,,47.18
CY 2015,2015-01-26 00:00:00,,,,47.009998
CY 2015,2015-01-27 00:00:00,,,,42.66
CY 2015,2015-01-28 00:00:00,,,,41.189999
CY 2015,2015-01-29 00:00:00,,,,42.009998
CY 2015,2015-01-30 00:00:00,,,,40.400002
CY 2015,2015-02-02 00:00:00,,,,41.279999
CY 2015,2015-02-03 00:00:00,,,,41.599998
CY 2015,2015-02-04 00:00:00,,,,41.84
CY 2015,2015-02-05 00:00:00,,,,42.450001
CY 2015,2015-02-06 00:00:00,,,,42.41
CY 2015,2015-02-09 00:00:00,,,,42.360001
CY 2015,2015-02-10 00:00:00,,,,42.599998
CY 2015,2015-02-11 00:00:00,,,,42.380001
CY 2015,2015-02-12 00:00:00,,,,43.09
CY 2015,2015-02-13 00:00:00,,,,43.869999
CY 2015,2015-02-17 00:00:00,,,,43.580002
CY 2015,2015-02-18 00:00:00,,,,43.529999
CY 2015,2015-02-19 00:00:00,,,,43.5
CY 2015,2015-02-20 00:00:00,,,,43.860001
CY 2015,2015-02-23 00:00:00,,,,44.150002
CY 2015,2015-02-24 00:00:00,,,,44.09
CY 2015,2015-02-25 00:00:00,,,,43.990002
CY 2015,2015-02-26 00:00:00,,,,44.060001
CY 2015,2015-02-27 00:00:00,,,,43.849998
CY 2015,2015-03-02 00:00:00,,,,43.880001
CY 2015,2015-03-03 00:00:00,,,,43.279999
CY 2015,2015-03-04 00:00:00,,,,43.060001
CY 2015,2015-03-05 00:00:00,,,,43.110001
CY 2015,2015-03-06 00:00:00,,,,42.360001
CY 2015,2015-03-09 00:00:00,,,,42.849998
CY 2015,2015-03-10 00:00:00,,,,42.029999
CY 2015,2015-03-11 00:00:00,,,,41.98
CY 2015,2015-03-12 00:00:00,,,,41.02
CY 2015,2015-03-13 00:00:00,,,,41.380001
CY 2015,2015-03-16 00:00:00,,,,41.560001
CY 2015,2015-03-17 00:00:00,,,,41.700001
CY 2015,2015-03-18 00:00:00,,,,42.5
