Date,Last Value
2014-01-13 00:00:00,34.98
2014-01-14 00:00:00,35.779999
2014-01-15 00:00:00,36.759998
2014-01-16 00:00:00,36.889999
2014-01-17 00:00:00,36.380001
2014-01-21 00:00:00,36.169998
2014-01-22 00:00:00,35.93
2014-01-23 00:00:00,36.060001
2014-01-24 00:00:00,36.810001
2014-01-27 00:00:00,36.029999
2014-01-28 00:00:00,36.27
2014-01-29 00:00:00,36.66
2014-01-30 00:00:00,36.860001
2014-01-31 00:00:00,37.84
2014-02-03 00:00:00,36.48
2014-02-04 00:00:00,36.349998
2014-02-05 00:00:00,35.82
2014-02-06 00:00:00,36.18
2014-02-07 00:00:00,36.560001
2014-02-10 00:00:00,36.799999
2014-02-11 00:00:00,37.169998
2014-02-12 00:00:00,37.470001
2014-02-13 00:00:00,37.610001
2014-02-14 00:00:00,37.619999
2014-02-18 00:00:00,37.419998
2014-02-19 00:00:00,37.509998
2014-02-20 00:00:00,37.75
2014-02-21 00:00:00,37.98
2014-02-24 00:00:00,37.689999
2014-02-25 00:00:00,37.540001
2014-02-26 00:00:00,37.470001
2014-02-27 00:00:00,37.860001
2014-02-28 00:00:00,38.310001
2014-03-03 00:00:00,37.779999
2014-03-04 00:00:00,38.41
2014-03-05 00:00:00,38.110001
2014-03-06 00:00:00,38.150002
2014-03-07 00:00:00,37.900002
2014-03-10 00:00:00,37.82
2014-03-11 00:00:00,38.02
2014-03-12 00:00:00,38.27
2014-03-13 00:00:00,37.889999
2014-03-14 00:00:00,37.700001
2014-03-17 00:00:00,38.049999
2014-03-18 00:00:00,39.549999
2014-03-19 00:00:00,39.27
2014-03-20 00:00:00,40.330002
2014-03-21 00:00:00,40.16
2014-03-24 00:00:00,40.5
2014-03-25 00:00:00,40.34
2014-03-26 00:00:00,39.790001
2014-03-27 00:00:00,39.360001
2014-03-28 00:00:00,40.299999
2014-03-31 00:00:00,40.990002
2014-04-01 00:00:00,41.419998
2014-04-02 00:00:00,41.349998
2014-04-03 00:00:00,41.009998
2014-04-04 00:00:00,39.869999
2014-04-07 00:00:00,39.799999
2014-04-08 00:00:00,39.82
2014-04-09 00:00:00,40.470001
2014-04-10 00:00:00,39.360001
2014-04-11 00:00:00,39.209999
2014-04-14 00:00:00,39.18
2014-04-15 00:00:00,39.75
2014-04-16 00:00:00,40.400002
2014-04-17 00:00:00,40.009998
2014-04-21 00:00:00,39.939999
2014-04-22 00:00:00,39.990002
2014-04-23 00:00:00,39.689999
2014-04-24 00:00:00,39.860001
2014-04-25 00:00:00,39.91
2014-04-28 00:00:00,40.869999
2014-04-29 00:00:00,40.509998
2014-04-30 00:00:00,40.400002
2014-05-01 00:00:00,40
2014-05-02 00:00:00,39.689999
2014-05-05 00:00:00,39.43
2014-05-06 00:00:00,39.060001
2014-05-07 00:00:00,39.419998
2014-05-08 00:00:00,39.639999
2014-05-09 00:00:00,39.540001
2014-05-12 00:00:00,39.970001
2014-05-13 00:00:00,40.419998
2014-05-14 00:00:00,40.240002
2014-05-15 00:00:00,39.599998
2014-05-16 00:00:00,39.830002
2014-05-19 00:00:00,39.75
2014-05-20 00:00:00,39.68
2014-05-21 00:00:00,40.349998
2014-05-22 00:00:00,40.099998
2014-05-23 00:00:00,40.119999
2014-05-27 00:00:00,40.189999
2014-05-28 00:00:00,40.009998
2014-05-29 00:00:00,40.34
2014-05-30 00:00:00,40.939999
2014-06-02 00:00:00,40.790001
2014-06-03 00:00:00,40.290001
2014-06-04 00:00:00,40.32
2014-06-05 00:00:00,41.209999
2014-06-06 00:00:00,41.48
2014-06-09 00:00:00,41.27
2014-06-10 00:00:00,41.110001
2014-06-11 00:00:00,40.860001
2014-06-12 00:00:00,40.580002
2014-06-13 00:00:00,41.23
2014-06-16 00:00:00,41.5
2014-06-17 00:00:00,41.68
2014-06-18 00:00:00,41.650002
2014-06-19 00:00:00,41.509998
2014-06-20 00:00:00,41.68
2014-06-23 00:00:00,41.990002
2014-06-24 00:00:00,41.75
2014-06-25 00:00:00,42.029999
2014-06-26 00:00:00,41.720001
2014-06-27 00:00:00,42.25
2014-06-30 00:00:00,41.700001
2014-07-01 00:00:00,41.869999
2014-07-02 00:00:00,41.900002
2014-07-03 00:00:00,41.799999
2014-07-07 00:00:00,41.990002
2014-07-08 00:00:00,41.779999
2014-07-09 00:00:00,41.669998
2014-07-10 00:00:00,41.689999
2014-07-11 00:00:00,42.09
2014-07-14 00:00:00,42.139999
2014-07-15 00:00:00,42.450001
2014-07-16 00:00:00,44.080002
2014-07-17 00:00:00,44.529999
2014-07-18 00:00:00,44.689999
2014-07-21 00:00:00,44.84
2014-07-22 00:00:00,44.830002
2014-07-23 00:00:00,44.869999
2014-07-24 00:00:00,44.400002
2014-07-25 00:00:00,44.5
2014-07-28 00:00:00,43.970001
2014-07-29 00:00:00,43.889999
2014-07-30 00:00:00,43.580002
2014-07-31 00:00:00,43.16
2014-08-01 00:00:00,42.860001
2014-08-04 00:00:00,43.369999
2014-08-05 00:00:00,43.080002
2014-08-06 00:00:00,42.740002
2014-08-07 00:00:00,43.23
2014-08-08 00:00:00,43.200001
2014-08-11 00:00:00,43.200001
2014-08-12 00:00:00,43.52
2014-08-13 00:00:00,44.080002
2014-08-14 00:00:00,44.27
2014-08-15 00:00:00,44.790001
2014-08-18 00:00:00,45.110001
2014-08-19 00:00:00,45.330002
2014-08-20 00:00:00,44.950001
2014-08-21 00:00:00,45.220001
2014-08-22 00:00:00,45.150002
2014-08-25 00:00:00,45.169998
2014-08-26 00:00:00,45.009998
2014-08-27 00:00:00,44.869999
